true_label,text_insert,text_remove,text_paste,focus_gained,focus_lost,run,submit
failed,28485.66,9203.05,249.28,2478.18,2412.23,600.34,84.19
passed,67343.4,16934.22,555.52,4080.85,3940.33,850.58,164.56
